rank,team,rank_change,points
1,France,2,1877.32
2,Spain,-1,1876.4
3,Argentina,-1,1874.81
4,England,0,1825.97
5,Portugal,1,1763.83
6,Brazil,-1,1761.16
7,Netherlands,0,1757.87
8,Morocco,0,1755.87
9,Belgium,0,1734.71
10,Germany,0,1730.37
11,Croatia,0,1717.07
12,Italy,1,1700.37
13,Colombia,1,1693.09
14,Senegal,-2,1688.99
15,Mexico,1,1681.03
16,USA,-1,1673.13
17,Uruguay,0,1673.07
18,Japan,1,1660.43
19,Switzerland,-1,1649.4
20,Denmark,1,1620.81
21,IR Iran,-1,1615.3
22,Türkiye,3,1599.04
23,Ecuador,0,1594.78
24,Austria,0,1593.45
25,Korea Republic,-3,1588.66
26,Nigeria,0,1585.09
27,Australia,0,1580.67
28,Algeria,0,1564.26
29,Egypt,2,1563.24
30,Canada,-1,1556.48
31,Norway,1,1550.94
32,Ukraine,-2,1546.88
33,Panama,0,1540.64
34,Côte d'Ivoire,3,1532.98
35,Poland,-1,1528.0
36,Russia,0,1525.6
37,Wales,-2,1524.29
38,Sweden,4,1514.77
39,Serbia,0,1508.65
40,Paraguay,0,1503.5
41,Czechia,2,1501.38
42,Hungary,-1,1500.58
43,Scotland,-5,1498.35
44,Tunisia,3,1483.05
45,Cameroon,0,1481.24
46,Congo DR,2,1478.35
47,Greece,-1,1475.82
48,Slovakia,-4,1473.94
49,Venezuela,1,1468.05
50,Uzbekistan,2,1465.34
51,Costa Rica,0,1459.9
52,Mali,2,1459.13
53,Peru,0,1455.87
54,Chile,1,1455.28
55,Qatar,1,1454.96
56,Romania,-7,1451.16
57,Iraq,1,1447.14
58,Slovenia,-1,1446.44
59,Republic of Ireland,0,1436.63
60,South Africa,0,1429.73
61,Saudi Arabia,0,1421.43
62,Burkina Faso,0,1412.49
63,Jordan,1,1391.45
64,Albania,-1,1388.06
65,Bosnia and Herzegovina,6,1385.84
66,Honduras,-1,1380.27
67,North Macedonia,-1,1372.04
68,United Arab Emirates,0,1370.47
69,Cabo Verde,-2,1366.13
70,Northern Ireland,-1,1362.16
71,Jamaica,-1,1358.0
72,Georgia,1,1350.18
73,Finland,2,1346.41
74,Ghana,-2,1346.31
75,Iceland,-1,1345.07
76,Bolivia,0,1329.42
77,Israel,0,1328.33
78,Kosovo,1,1318.83
79,Oman,-1,1313.46
80,Guinea,0,1300.01
81,Montenegro,1,1295.52
82,Curaçao,-1,1294.65
83,Haiti,0,1291.71
